"","state_ut","year","death_remanded","death_not_remanded","state_pca","district_pca","type","sc_order1","committee1","gdp","religion2","head_trans"
"292","KARNATAKA ",2009,0,1,0,0,"0",1,1,337559,1,0.222222222
"293","KERALA ",2009,0,0,1,1,"act",1,1,231999,1,0.823529412
"294","MADHYA PRADESH",2009,1,9,0,0,"0",1,1,227557,1,0.770833333
"295","MAHARASHTRA",2009,0,18,0,0,"0",1,1,855751,1,0.272727273
"296","MANIPUR ",2009,0,0,1,1,"go",1,1,8254,1,1
"297","MEGHALAYA ",2009,0,1,0,0,"0",1,1,12709,1,0.428571429
"298","MIZORAM ",2009,0,1,0,0,"0",1,1,5260,1,0
"299","NAGALAND ",2009,0,0,1,0,"go",1,1,10527,1,1.272727273
"300","ORISSA ",2009,0,2,1,0,"go",1,1,162946,1,0.40625
"301","PUNJAB ",2009,0,4,1,1,"act",1,1,197500,0,6
"302","RAJASTHAN ",2009,1,2,1,1,"act",1,1,265825,1,0
"303","SIKKIM ",2009,0,0,1,0,"act",1,1,6133,1,0
"304","TAMIL NADU ",2009,0,5,0,0,"0",1,1,479733,1,0.966666667
"305","TRIPURA ",2009,0,0,1,0,"act",1,1,15403,1,0
"306","UTTAR PRADESH ",2009,0,6,0,0,"0",1,1,523394,1,8.711111111
"307","UTTARAKHAND ",2009,0,0,1,0,"act",1,1,70730,1,0.153846154
"308","WEST BENGAL ",2009,4,2,0,0,"0",1,1,398880,1,0.666666667
"309","Z A & N ISLANDS",2009,0,0,0,0,"0",1,1,4120,1,0
"310","Z CHANDIGARH ",2009,0,1,0,0,"0",1,1,17577,1,0
"311","Z D & N HAVELI",2009,1,0,0,0,"0",1,1,10149.250132663,1,0
"312","Z DAMAN & DIU",2009,0,0,0,0,"0",1,1,17755.1660973763,1,0
"313","Z DELHI ",2009,0,0,0,0,"0",1,1,217619,1,0
"314","Z LAKSHADWEEP ",2009,0,0,0,0,"0",1,1,120502.374727489,0,0
"315","Z PUDUCHERRY ",2009,0,0,0,0,"0",1,1,12304,1,0
"316","ANDHRA PRADESH",2010,5,4,0,0,"0",1,1,319864,1,0.454545455
"317","ARUNACHAL PRADESH ",2010,1,0,1,0,"go",1,1,9021,1,0
"318","ASSAM",2010,3,0,1,1,"act",1,1,112688,1,0.888888889
"319","BIHAR ",2010,0,0,0,1,"act",1,1,203555,1,0.475
"320","CHHATTISGARH ",2010,0,0,1,0,"act",1,1,119420,1,1.05
"321","GOA",2010,0,0,1,0,"go",1,1,33605,1,0
"322","GUJARAT ",2010,3,3,1,1,"act",1,1,521519,1,0
"323","HARYANA ",2010,0,0,1,0,"act",1,1,260621,1,0.578947368
"324","HIMACHAL PRADESH ",2010,1,0,0,1,"act",1,1,57452,1,0.75
"325","JAMMU & KASHMIR ",2010,0,2,0,0,"0",1,1,58073,0,0.2
"326","JHARKHAND",2010,0,0,1,1,"go",1,1,127281,1,0.545454545
"327","KARNATAKA ",2010,1,0,0,0,"0",1,1,410703,1,0.851851852
"328","KERALA ",2010,0,1,1,1,"act",1,1,263773,1,0.352941176
"329","MADHYA PRADESH",2010,0,2,0,1,"go",1,1,263396,1,0.208333333
"330","MAHARASHTRA",2010,5,18,0,0,"0",1,1,1049150,1,0.454545455
"331","MANIPUR ",2010,0,0,1,1,"go",1,1,9137,1,0
"332","MEGHALAYA ",2010,0,0,0,0,"0",1,1,14583,1,0.285714286
